word,reviewed,unreviewed,rowwise_total,norm_reviewed,norm_unreviewed,norm_diff,norm_total
bts,2116.0,592.0,2708.0,41.32,24.02,17.3,35.69
room,1455.0,1014.0,2469.0,28.41,41.13,-12.720000000000002,32.54
near,1312.0,528.0,1840.0,25.62,21.42,4.199999999999999,24.25
bangkok,857.0,496.0,1353.0,16.73,20.12,-3.3900000000000006,17.83
br,985.0,241.0,1226.0,19.23,9.78,9.450000000000001,16.16
condo,712.0,433.0,1145.0,13.9,17.57,-3.67,15.09
mrt,692.0,276.0,968.0,13.51,11.2,2.3100000000000005,12.76
sukhumvit,652.0,303.0,955.0,12.73,12.29,0.4400000000000013,12.59
bedroom,513.0,392.0,905.0,10.02,15.9,-5.880000000000001,11.93
cozy,637.0,237.0,874.0,12.44,9.61,2.83,11.52
studio,596.0,242.0,838.0,11.64,9.82,1.8200000000000003,11.05
bed,485.0,281.0,766.0,9.47,11.4,-1.9299999999999997,10.1
pool,537.0,203.0,740.0,10.49,8.23,2.26,9.75
private,496.0,218.0,714.0,9.68,8.84,0.8399999999999999,9.41
apartment,426.0,245.0,671.0,8.32,9.94,-1.6199999999999992,8.84
new,491.0,169.0,660.0,9.59,6.86,2.7299999999999995,8.7
luxury,433.0,194.0,627.0,8.45,7.87,0.5799999999999992,8.26
wifi,513.0,100.0,613.0,10.02,4.06,5.96,8.08
view,383.0,219.0,602.0,7.48,8.88,-1.4000000000000004,7.94
house,355.0,227.0,582.0,6.93,9.21,-2.280000000000001,7.67
min,452.0,119.0,571.0,8.83,4.83,4.0,7.53
walk,424.0,86.0,510.0,8.28,3.49,4.789999999999999,6.72
mins,371.0,105.0,476.0,7.24,4.26,2.9800000000000004,6.27
sqm,282.0,186.0,468.0,5.51,7.55,-2.04,6.17
city,297.0,120.0,417.0,5.8,4.87,0.9299999999999997,5.5
suite,233.0,178.0,411.0,4.55,7.22,-2.67,5.42
nana,329.0,75.0,404.0,6.42,3.04,3.38,5.33
airport,257.0,141.0,398.0,5.02,5.72,-0.7000000000000002,5.25
bkk,282.0,116.0,398.0,5.51,4.71,0.7999999999999998,5.25
hostel,206.0,180.0,386.0,4.02,7.3,-3.2800000000000002,5.09
home,217.0,164.0,381.0,4.24,6.65,-2.41,5.02
family,222.0,144.0,366.0,4.33,5.84,-1.5099999999999998,4.82
deluxe,179.0,161.0,340.0,3.5,6.53,-3.0300000000000002,4.48
hotel,124.0,201.0,325.0,2.42,8.15,-5.73,4.28
spacious,244.0,71.0,315.0,4.76,2.88,1.88,4.15
station,209.0,103.0,312.0,4.08,4.18,-0.09999999999999964,4.11
modern,221.0,89.0,310.0,4.32,3.61,0.7100000000000004,4.09
free,240.0,65.0,305.0,4.69,2.64,2.0500000000000003,4.02
center,209.0,67.0,276.0,4.08,2.72,1.3599999999999999,3.64
location,202.0,72.0,274.0,3.94,2.92,1.02,3.61
place,145.0,128.0,273.0,2.83,5.19,-2.3600000000000003,3.6
central,190.0,83.0,273.0,3.71,3.37,0.33999999999999986,3.6
market,189.0,56.0,245.0,3.69,2.27,1.42,3.23
silom,185.0,59.0,244.0,3.61,2.39,1.2199999999999998,3.22
apt,180.0,62.0,242.0,3.51,2.52,0.9899999999999998,3.19
gym,172.0,70.0,242.0,3.36,2.84,0.52,3.19
siam,182.0,57.0,239.0,3.55,2.31,1.2399999999999998,3.15
ppl,216.0,22.0,238.0,4.22,0.89,3.3299999999999996,3.14
thonglor,143.0,93.0,236.0,2.79,3.77,-0.98,3.11
rama,140.0,95.0,235.0,2.73,3.85,-1.12,3.1
one,122.0,106.0,228.0,2.38,4.3,-1.92,3.01
stay,143.0,77.0,220.0,2.79,3.12,-0.33000000000000007,2.9
sathorn,139.0,80.0,219.0,2.71,3.25,-0.54,2.89
heart,165.0,53.0,218.0,3.22,2.15,1.0700000000000003,2.87
close,145.0,73.0,218.0,2.83,2.96,-0.1299999999999999,2.87
twin,135.0,82.0,217.0,2.64,3.33,-0.69,2.86
river,145.0,67.0,212.0,2.83,2.72,0.10999999999999988,2.79
sky,171.0,39.0,210.0,3.34,1.58,1.7599999999999998,2.77
double,124.0,86.0,210.0,2.42,3.49,-1.0700000000000003,2.77
residence,94.0,114.0,208.0,1.84,4.62,-2.7800000000000002,2.74
area,138.0,68.0,206.0,2.69,2.76,-0.06999999999999984,2.72
bathroom,131.0,74.0,205.0,2.56,3.0,-0.43999999999999995,2.7
lovely,119.0,86.0,205.0,2.32,3.49,-1.1700000000000004,2.7
floor,142.0,60.0,202.0,2.77,2.43,0.33999999999999986,2.66
beds,128.0,74.0,202.0,2.5,3.0,-0.5,2.66
condominium,102.0,99.0,201.0,1.99,4.02,-2.0299999999999994,2.65
bedrooms,131.0,65.0,196.0,2.56,2.64,-0.08000000000000007,2.58
town,115.0,78.0,193.0,2.25,3.16,-0.9100000000000001,2.54
grand,147.0,43.0,190.0,2.87,1.74,1.1300000000000001,2.5
nice,102.0,78.0,180.0,1.99,3.16,-1.1700000000000002,2.37
asok,151.0,26.0,177.0,2.95,1.05,1.9000000000000001,2.33
park,91.0,82.0,173.0,1.78,3.33,-1.55,2.28
next,129.0,44.0,173.0,2.52,1.78,0.74,2.28
skytrain,135.0,38.0,173.0,2.64,1.54,1.1,2.28
onnut,134.0,37.0,171.0,2.62,1.5,1.12,2.25
living,110.0,61.0,171.0,2.15,2.47,-0.3200000000000003,2.25
asoke,118.0,50.0,168.0,2.3,2.03,0.27,2.21
big,104.0,54.0,158.0,2.03,2.19,-0.16000000000000014,2.08
night,132.0,25.0,157.0,2.58,1.01,1.57,2.07
breakfast,86.0,71.0,157.0,1.68,2.88,-1.2,2.07
comfy,117.0,40.0,157.0,2.28,1.62,0.6599999999999997,2.07
garden,95.0,61.0,156.0,1.85,2.47,-0.6200000000000001,2.06
dorm,90.0,62.0,152.0,1.76,2.52,-0.76,2.0
dormitory,58.0,92.0,150.0,1.13,3.73,-2.6,1.98
mall,112.0,37.0,149.0,2.19,1.5,0.69,1.96
loft,113.0,36.0,149.0,2.21,1.46,0.75,1.96
road,103.0,45.0,148.0,2.01,1.83,0.17999999999999972,1.95
clean,98.0,50.0,148.0,1.91,2.03,-0.11999999999999988,1.95
train,105.0,36.0,141.0,2.05,1.46,0.5899999999999999,1.86
balcony,86.0,55.0,141.0,1.68,2.23,-0.55,1.86
great,98.0,42.0,140.0,1.91,1.7,0.20999999999999996,1.85
style,84.0,56.0,140.0,1.64,2.27,-0.6300000000000001,1.85
best,107.0,32.0,139.0,2.09,1.3,0.7899999999999998,1.83
superior,77.0,62.0,139.0,1.5,2.52,-1.02,1.83
b,99.0,39.0,138.0,1.93,1.58,0.34999999999999987,1.82
large,103.0,31.0,134.0,2.01,1.26,0.7499999999999998,1.77
ekkamai,84.0,43.0,127.0,1.64,1.74,-0.10000000000000009,1.67
shared,76.0,50.0,126.0,1.48,2.03,-0.5499999999999998,1.66
soi,96.0,30.0,126.0,1.87,1.22,0.6500000000000001,1.66
bath,79.0,45.0,124.0,1.54,1.83,-0.29000000000000004,1.63
old,85.0,39.0,124.0,1.66,1.58,0.07999999999999985,1.63
high,96.0,27.0,123.0,1.87,1.1,0.77,1.62
life,79.0,44.0,123.0,1.54,1.78,-0.24,1.62
ari,101.0,21.0,122.0,1.97,0.85,1.12,1.61
mixed,71.0,50.0,121.0,1.39,2.03,-0.6399999999999999,1.59
amazing,84.0,37.0,121.0,1.64,1.5,0.1399999999999999,1.59
rooftop,97.0,23.0,120.0,1.89,0.93,0.9599999999999999,1.58
quiet,81.0,39.0,120.0,1.58,1.58,0.0,1.58
w,83.0,33.0,116.0,1.62,1.34,0.28,1.53
khaosan,90.0,25.0,115.0,1.76,1.01,0.75,1.52
brand,76.0,38.0,114.0,1.48,1.54,-0.06000000000000005,1.5
fl,91.0,22.0,113.0,1.78,0.89,0.89,1.49
